Time	First	Second	Third	Fourth	Fifth	Sixth	Seventh
1014.29 24.31 7.60 2.49 1.06 0.53 0.30 0.18
1028.57 30.39 8.32 2.69 1.07 0.54 0.30 0.18
1042.86 18.23 7.50 2.57 1.06 0.54 0.30 0.18
1057.14 24.31 7.91 2.51 1.05 0.52 0.30 0.18
1071.43 18.23 6.58 2.37 1.00 0.49 0.28 0.17
1085.71 18.23 7.60 2.49 1.01 0.50 0.29 0.18
1100.00 6.08 6.58 2.33 1.00 0.49 0.28 0.17
1114.29 18.23 6.99 2.33 1.03 0.51 0.29 0.17
1128.57 30.39 7.81 2.50 1.03 0.53 0.30 0.18
1142.86 24.31 7.71 2.51 1.06 0.52 0.29 0.18
1157.14 24.31 8.01 2.38 1.02 0.50 0.28 0.17
1171.43 12.16 7.81 2.46 1.00 0.50 0.28 0.17
1185.71 6.08 6.27 2.19 0.96 0.48 0.27 0.16
1200.00 12.16 7.09 2.31 0.97 0.48 0.27 0.17
1214.29 18.23 7.50 2.26 0.96 0.48 0.27 0.16
1228.57 24.31 8.22 2.47 0.97 0.48 0.26 0.16
1242.86 12.16 8.12 2.47 1.00 0.50 0.28 0.16
1257.14 18.23 6.88 2.23 0.91 0.46 0.26 0.16
1271.43 18.23 7.40 2.25 0.98 0.48 0.27 0.16
1285.71 24.31 6.78 2.21 0.95 0.47 0.26 0.16
1300.00 24.31 6.68 2.25 0.94 0.45 0.25 0.15
1314.29 24.31 8.12 2.41 0.96 0.48 0.27 0.16
1328.57 18.23 6.47 2.18 0.95 0.47 0.26 0.16
1342.86 18.23 6.68 2.30 0.97 0.46 0.26 0.16
1357.14 18.23 6.88 2.25 0.95 0.47 0.26 0.16
1371.43 18.23 6.68 2.23 0.92 0.46 0.25 0.15
1385.71 18.23 6.88 2.23 0.89 0.43 0.24 0.15
1400.00 18.23 5.86 1.97 0.85 0.43 0.24 0.14
1414.29 24.31 6.47 2.12 0.90 0.44 0.25 0.15
1428.57 24.31 6.27 2.08 0.86 0.44 0.25 0.15
1442.86 18.23 7.19 2.22 0.89 0.44 0.24 0.14
1457.14 24.31 7.29 2.17 0.87 0.44 0.24 0.14
1471.43 12.16 6.68 2.19 0.87 0.42 0.23 0.14
1485.71 18.23 7.09 2.05 0.85 0.42 0.23 0.14
1500.00 6.08 6.99 2.12 0.89 0.42 0.23 0.14
1514.29 30.39 7.60 2.27 0.90 0.44 0.24 0.14
1528.57 24.31 6.88 2.12 0.88 0.42 0.23 0.14
1542.86 12.16 6.68 2.09 0.82 0.41 0.22 0.13
1557.14 30.39 6.68 2.09 0.82 0.40 0.23 0.14
1571.43 18.23 6.99 2.22 0.90 0.44 0.23 0.14
1585.71 18.23 6.68 1.94 0.76 0.39 0.21 0.13
1600.00 24.31 8.01 2.21 0.86 0.42 0.23 0.14
1614.29 18.23 6.78 2.17 0.86 0.42 0.23 0.14
1628.57 12.16 7.60 2.10 0.84 0.39 0.22 0.13
1642.86 24.31 7.09 2.17 0.83 0.40 0.22 0.13
1657.14 6.08 7.71 2.31 0.90 0.43 0.23 0.14
1671.43 18.23 6.37 2.02 0.85 0.41 0.22 0.13
1685.71 24.31 6.16 2.09 0.88 0.41 0.22 0.13
1700.00 18.23 6.99 2.02 0.84 0.40 0.22 0.13
1714.29 18.23 7.60 2.17 0.85 0.40 0.22 0.13
1728.57 24.31 6.68 2.00 0.82 0.39 0.21 0.12
1742.86 24.31 5.75 1.94 0.82 0.40 0.22 0.13
1757.14 12.16 6.78 2.00 0.83 0.41 0.22 0.13
1771.43 12.16 6.88 2.18 0.87 0.41 0.22 0.13
1785.71 12.16 6.78 2.06 0.83 0.40 0.22 0.13
1800.00 18.23 7.09 2.12 0.81 0.38 0.20 0.12
1814.29 30.39 6.99 2.19 0.85 0.39 0.21 0.12
1828.57 18.23 7.29 2.17 0.85 0.41 0.22 0.13
1842.86 30.39 6.58 2.17 0.84 0.40 0.21 0.12
1857.14 24.31 7.50 2.04 0.83 0.38 0.21 0.12
1871.43 18.23 7.09 2.12 0.86 0.40 0.21 0.13
1885.71 18.23 7.19 2.12 0.84 0.39 0.21 0.12
1900.00 18.23 7.09 2.18 0.86 0.40 0.22 0.13
1914.29 18.23 6.78 2.15 0.87 0.41 0.22 0.13
1928.57 12.16 7.09 2.02 0.82 0.39 0.21 0.12
1942.86 18.23 6.68 2.02 0.80 0.39 0.21 0.12
1957.14 18.23 6.99 1.90 0.80 0.39 0.21 0.12
1971.43 24.31 7.40 2.04 0.81 0.38 0.20 0.12
1985.71 18.23 6.78 1.92 0.78 0.37 0.20 0.12
2000.00 18.23 7.19 2.06 0.83 0.40 0.22 0.12
2014.29 24.31 7.91 2.09 0.83 0.40 0.21 0.12
2028.57 18.23 6.16 1.86 0.79 0.38 0.20 0.12
2042.86 18.23 7.09 2.21 0.86 0.41 0.22 0.13
2057.14 24.31 6.99 2.17 0.83 0.40 0.21 0.12
2071.43 18.23 6.99 2.23 0.83 0.40 0.21 0.12
2085.71 18.23 6.47 2.00 0.81 0.39 0.20 0.12
2100.00 12.16 6.47 2.02 0.82 0.40 0.21 0.12
2114.29 18.23 6.68 2.05 0.80 0.39 0.20 0.12
2128.57 24.31 7.09 2.14 0.88 0.41 0.22 0.13
2142.86 24.31 7.09 2.00 0.83 0.39 0.20 0.12
2157.14 6.08 6.37 2.06 0.81 0.38 0.20 0.12
2171.43 24.31 6.37 2.25 0.89 0.42 0.22 0.13
2185.71 24.31 6.06 1.90 0.79 0.37 0.20 0.12
2200.00 12.16 6.78 2.06 0.80 0.38 0.20 0.11
2214.29 24.31 7.29 2.05 0.80 0.39 0.20 0.12
2228.57 24.31 7.19 2.12 0.87 0.40 0.21 0.12
2242.86 24.31 6.16 2.05 0.82 0.39 0.20 0.12
2257.14 18.23 6.27 1.96 0.82 0.40 0.21 0.12
2271.43 6.08 5.65 2.09 0.83 0.39 0.20 0.12
2285.71 24.31 6.37 1.90 0.80 0.39 0.21 0.12
2300.00 24.31 7.19 2.14 0.85 0.40 0.21 0.12
2314.29 24.31 7.09 2.17 0.81 0.38 0.20 0.12
2328.57 18.23 5.65 1.98 0.80 0.38 0.20 0.12
2342.86 12.16 6.58 2.10 0.82 0.39 0.20 0.12
2357.14 18.23 6.99 2.22 0.87 0.42 0.22 0.13
2371.43 18.23 6.58 1.94 0.79 0.38 0.20 0.12
2385.71 18.23 6.47 1.86 0.76 0.37 0.20 0.12
2400.00 24.31 6.88 2.14 0.84 0.40 0.21 0.12
2414.29 18.23 6.99 2.01 0.80 0.38 0.20 0.12
2428.57 18.23 7.09 2.00 0.79 0.37 0.20 0.11
2442.86 24.31 6.78 2.06 0.81 0.37 0.20 0.12
2457.14 24.31 7.40 1.93 0.76 0.36 0.19 0.11
2471.43 12.16 6.47 1.94 0.82 0.38 0.20 0.12
2485.71 24.31 7.09 2.13 0.86 0.40 0.21 0.12
2500.00 18.23 5.75 1.85 0.79 0.38 0.20 0.12
2514.29 18.23 6.06 1.98 0.81 0.39 0.21 0.12
2528.57 12.16 5.55 1.80 0.78 0.37 0.20 0.11
2542.86 18.23 6.16 1.98 0.82 0.39 0.21 0.12
2557.14 24.31 7.09 2.18 0.85 0.41 0.22 0.12
2571.43 24.31 6.78 2.05 0.80 0.38 0.20 0.12
2585.71 18.23 6.58 2.00 0.82 0.38 0.21 0.12
2600.00 18.23 6.47 1.90 0.74 0.36 0.19 0.11
2614.29 24.31 6.99 2.15 0.83 0.40 0.21 0.12
2628.57 18.23 6.78 2.04 0.82 0.38 0.20 0.12
2642.86 18.23 6.06 1.98 0.76 0.38 0.20 0.12
2657.14 30.39 7.60 2.06 0.83 0.39 0.21 0.12
2671.43 24.31 7.29 2.06 0.81 0.39 0.21 0.12
2685.71 18.23 6.37 2.00 0.84 0.40 0.21 0.12
2700.00 6.08 6.58 1.98 0.83 0.39 0.20 0.12
2714.29 24.31 6.78 2.10 0.82 0.39 0.20 0.12
2728.57 12.16 6.47 1.96 0.81 0.38 0.21 0.12
2742.86 12.16 6.37 2.13 0.80 0.38 0.21 0.12
2757.14 30.39 7.40 2.21 0.87 0.41 0.22 0.13
2771.43 18.23 6.47 2.04 0.81 0.38 0.20 0.12
2785.71 18.23 6.37 1.90 0.79 0.37 0.20 0.11
2800.00 24.31 6.58 2.04 0.80 0.39 0.21 0.12
2814.29 36.47 5.96 2.00 0.81 0.38 0.20 0.12
2828.57 30.39 7.40 2.23 0.90 0.41 0.22 0.13
2842.86 18.23 6.27 1.93 0.80 0.38 0.21 0.12
2857.14 12.16 6.37 2.02 0.83 0.39 0.21 0.12
2871.43 12.16 6.78 2.05 0.81 0.38 0.21 0.12
2885.71 12.16 6.16 1.85 0.75 0.36 0.20 0.12
2900.00 12.16 6.58 2.08 0.82 0.38 0.20 0.12
2914.29 18.23 6.58 2.09 0.84 0.41 0.21 0.12
2928.57 12.16 5.65 1.92 0.76 0.37 0.19 0.11
2942.86 24.31 6.16 1.98 0.78 0.38 0.20 0.11
2957.14 18.23 7.29 2.19 0.86 0.41 0.22 0.12
2971.43 18.23 6.27 1.94 0.79 0.37 0.20 0.11
2985.71 30.39 6.47 2.04 0.77 0.36 0.19 0.11
3000.00 18.23 7.60 2.17 0.87 0.42 0.22 0.12
3014.29 24.31 7.19 2.12 0.82 0.39 0.20 0.12
3028.57 18.23 7.71 2.21 0.88 0.40 0.21 0.12
3042.86 24.31 6.78 2.15 0.82 0.40 0.21 0.12
3057.14 36.47 7.09 2.18 0.87 0.40 0.21 0.12
3071.43 12.16 6.88 2.17 0.87 0.41 0.21 0.12
3085.71 18.23 6.16 1.92 0.78 0.37 0.20 0.12
3100.00 24.31 7.09 2.17 0.87 0.41 0.21 0.12
3114.29 12.16 8.01 2.22 0.83 0.38 0.21 0.12
3128.57 12.16 7.19 2.17 0.85 0.40 0.21 0.12
3142.86 18.23 7.09 2.00 0.80 0.38 0.20 0.12
3157.14 18.23 6.99 1.90 0.77 0.36 0.20 0.11
3171.43 36.47 6.99 2.15 0.83 0.39 0.21 0.12
3185.71 18.23 6.37 2.10 0.83 0.40 0.21 0.12
3200.00 18.23 6.88 2.14 0.82 0.38 0.21 0.12
3214.29 12.16 5.96 1.92 0.83 0.40 0.21 0.12
3228.57 24.31 6.68 1.86 0.73 0.36 0.19 0.11
3242.86 24.31 6.37 1.96 0.77 0.38 0.20 0.12
3257.14 12.16 6.58 1.88 0.77 0.37 0.20 0.12
3271.43 24.31 7.09 2.09 0.81 0.39 0.21 0.12
3285.71 24.31 7.29 2.08 0.82 0.39 0.20 0.12
3300.00 24.31 7.09 2.12 0.82 0.39 0.21 0.12
3314.29 24.31 7.19 2.18 0.84 0.38 0.20 0.12
3328.57 6.08 7.09 2.04 0.83 0.39 0.21 0.12
3342.86 36.47 6.78 2.10 0.85 0.39 0.21 0.12
3357.14 24.31 6.68 2.08 0.80 0.38 0.19 0.12
3371.43 24.31 6.37 2.04 0.81 0.38 0.20 0.12
3385.71 18.23 7.09 2.30 0.89 0.41 0.22 0.13
3400.00 18.23 6.06 2.04 0.84 0.40 0.21 0.12
3414.29 6.08 7.09 2.04 0.85 0.40 0.21 0.12
3428.57 18.23 7.29 2.15 0.82 0.39 0.20 0.12
3442.86 6.08 6.68 2.05 0.82 0.39 0.21 0.12
3457.14 18.23 6.99 1.98 0.79 0.39 0.20 0.12
3471.43 24.31 6.16 1.97 0.78 0.38 0.20 0.12
3485.71 24.31 7.91 2.14 0.83 0.39 0.21 0.12
3500.00 6.08 6.58 2.08 0.82 0.39 0.20 0.12
3514.29 18.23 6.47 2.05 0.80 0.38 0.20 0.11
3528.57 30.39 7.19 2.15 0.85 0.41 0.21 0.12
3542.86 30.39 7.19 2.15 0.86 0.41 0.21 0.12
3557.14 18.23 6.27 1.86 0.77 0.37 0.19 0.11
3571.43 18.23 7.81 2.04 0.83 0.40 0.21 0.12
3585.71 24.31 6.68 2.02 0.83 0.39 0.20 0.12
3600.00 24.31 6.37 2.14 0.83 0.39 0.20 0.12
3614.29 30.39 6.99 2.26 0.88 0.42 0.21 0.12
3628.57 24.31 7.40 2.10 0.81 0.39 0.20 0.11
3642.86 12.16 7.19 2.05 0.83 0.39 0.21 0.12
3657.14 18.23 7.29 2.14 0.85 0.40 0.20 0.12
3671.43 12.16 6.06 2.02 0.83 0.38 0.20 0.12
3685.71 24.31 7.40 2.09 0.82 0.39 0.20 0.11
3700.00 6.08 6.37 1.93 0.80 0.37 0.20 0.12
3714.29 24.31 6.16 2.05 0.82 0.39 0.20 0.12
3728.57 18.23 6.88 2.12 0.86 0.41 0.21 0.12
3742.86 24.31 7.09 2.15 0.82 0.39 0.21 0.12
3757.14 30.39 7.19 2.18 0.82 0.39 0.20 0.12
3771.43 12.16 6.88 2.08 0.84 0.39 0.20 0.12
3785.71 18.23 7.71 2.22 0.89 0.41 0.21 0.12
3800.00 24.31 7.09 2.17 0.86 0.40 0.21 0.12
3814.29 24.31 7.60 2.37 0.91 0.41 0.21 0.12
3828.57 18.23 7.40 2.01 0.85 0.39 0.21 0.12
3842.86 18.23 5.86 2.01 0.82 0.39 0.21 0.12
3857.14 12.16 7.60 2.21 0.88 0.42 0.22 0.12
3871.43 30.39 6.06 1.93 0.83 0.39 0.21 0.12
3885.71 12.16 6.88 2.04 0.78 0.37 0.20 0.12
3900.00 24.31 7.71 2.15 0.83 0.40 0.21 0.12
3914.29 24.31 6.27 2.10 0.83 0.40 0.22 0.12
3928.57 18.23 6.37 2.12 0.82 0.40 0.21 0.12
3942.86 24.31 7.09 2.23 0.88 0.41 0.22 0.12
3957.14 18.23 6.99 2.23 0.87 0.40 0.21 0.12
3971.43 24.31 6.47 2.12 0.83 0.40 0.21 0.12
3985.71 18.23 6.99 2.05 0.82 0.40 0.21 0.12
4000.00 36.47 7.29 2.06 0.81 0.39 0.21 0.12
4014.29 24.31 7.71 2.01 0.78 0.37 0.20 0.12
4028.57 18.23 6.99 2.12 0.83 0.41 0.22 0.12
4042.86 24.31 7.19 2.25 0.88 0.41 0.21 0.12
4057.14 24.31 6.88 1.98 0.82 0.38 0.20 0.12
4071.43 24.31 7.09 2.19 0.85 0.38 0.21 0.12
4085.71 12.16 6.68 2.22 0.87 0.40 0.21 0.12
4100.00 24.31 6.99 2.18 0.85 0.40 0.21 0.12
4114.29 24.31 7.19 2.15 0.86 0.40 0.22 0.12
4128.57 24.31 6.58 2.05 0.81 0.37 0.20 0.11
4142.86 12.16 7.29 2.25 0.89 0.41 0.22 0.12
4157.14 18.23 6.37 2.13 0.85 0.42 0.21 0.12
4171.43 24.31 6.78 2.18 0.86 0.40 0.21 0.12
4185.71 18.23 7.40 2.15 0.89 0.41 0.21 0.12
4200.00 18.23 8.01 2.33 0.88 0.41 0.22 0.12
4214.29 12.16 6.27 2.09 0.86 0.41 0.22 0.13
4228.57 18.23 6.16 2.10 0.82 0.40 0.21 0.12
4242.86 30.39 5.96 1.88 0.78 0.37 0.20 0.12
4257.14 18.23 5.65 2.00 0.79 0.37 0.20 0.11
4271.43 42.55 6.37 2.08 0.81 0.38 0.20 0.12
4285.71 18.23 6.47 2.15 0.85 0.41 0.21 0.12
4300.00 18.23 5.86 1.94 0.77 0.37 0.19 0.11
4314.29 24.31 7.29 2.17 0.80 0.38 0.20 0.12
4328.57 18.23 5.45 1.94 0.79 0.37 0.20 0.11
4342.86 18.23 6.37 1.90 0.77 0.37 0.20 0.12
4357.14 18.23 6.16 1.92 0.77 0.37 0.19 0.11
4371.43 12.16 5.55 1.84 0.75 0.36 0.19 0.11
4385.71 36.47 6.37 1.82 0.73 0.35 0.19 0.11
4400.00 36.47 7.29 2.01 0.78 0.37 0.19 0.11
4414.29 30.39 6.06 1.89 0.73 0.35 0.19 0.11
4428.57 24.31 6.47 1.82 0.72 0.34 0.18 0.11
4442.86 18.23 6.68 1.84 0.74 0.35 0.19 0.11
4457.14 36.47 6.37 1.76 0.68 0.33 0.17 0.10
4471.43 18.23 5.86 1.73 0.66 0.32 0.17 0.10
4485.71 24.31 5.75 1.66 0.69 0.33 0.18 0.10
4500.00 18.23 6.06 1.73 0.67 0.31 0.17 0.10
4514.29 18.23 6.37 1.73 0.65 0.32 0.17 0.10
4528.57 18.23 6.16 1.70 0.69 0.33 0.17 0.10
4542.86 18.23 5.96 1.66 0.67 0.31 0.17 0.10
4557.14 6.08 5.55 1.58 0.63 0.30 0.16 0.09
4571.43 18.23 5.86 1.57 0.63 0.29 0.16 0.10
4585.71 30.39 6.06 1.52 0.61 0.27 0.15 0.09
4600.00 18.23 5.86 1.69 0.62 0.30 0.16 0.09
4614.29 24.31 6.16 1.62 0.62 0.28 0.15 0.09
4628.57 24.31 6.27 1.85 0.67 0.31 0.17 0.10
4642.86 18.23 5.86 1.70 0.64 0.29 0.15 0.09
4657.14 24.31 6.06 1.65 0.61 0.28 0.15 0.09
4671.43 24.31 6.37 1.73 0.63 0.27 0.14 0.08
4685.71 18.23 5.86 1.81 0.65 0.28 0.15 0.08
4700.00 12.16 6.78 1.65 0.60 0.27 0.15 0.09
4714.29 18.23 6.16 1.74 0.62 0.29 0.15 0.09
4728.57 18.23 6.06 1.66 0.61 0.27 0.14 0.08
4742.86 30.39 5.86 1.66 0.57 0.26 0.14 0.08
4757.14 24.31 6.47 1.65 0.59 0.27 0.14 0.08
4771.43 24.31 6.06 1.68 0.61 0.27 0.14 0.08
4785.71 30.39 5.24 1.58 0.58 0.27 0.14 0.08
4800.00 36.47 5.96 1.74 0.63 0.27 0.14 0.08
4814.29 18.23 5.65 1.61 0.58 0.26 0.14 0.08
4828.57 18.23 5.55 1.53 0.57 0.26 0.13 0.08
4842.86 24.31 5.03 1.56 0.59 0.27 0.14 0.08
4857.14 24.31 6.47 1.73 0.64 0.28 0.14 0.08
4871.43 12.16 5.24 1.49 0.57 0.25 0.13 0.08
4885.71 18.23 5.55 1.61 0.57 0.26 0.13 0.07
4900.00 24.31 6.27 1.61 0.58 0.26 0.13 0.07
4914.29 24.31 6.47 1.69 0.61 0.26 0.13 0.08
4928.57 24.31 5.45 1.62 0.57 0.26 0.13 0.07
4942.86 18.23 6.06 1.66 0.60 0.27 0.14 0.08
4957.14 12.16 6.06 1.76 0.65 0.28 0.14 0.08
4971.43 18.23 5.65 1.62 0.56 0.25 0.13 0.07
4985.71 18.23 6.47 1.73 0.62 0.28 0.14 0.08
5000.00 18.23 5.86 1.72 0.61 0.27 0.14 0.08
5014.29 18.23 5.75 1.57 0.57 0.25 0.13 0.07
5028.57 24.31 6.16 1.62 0.60 0.26 0.13 0.08
5042.86 12.16 4.52 1.46 0.57 0.26 0.13 0.08
5057.14 24.31 5.86 1.64 0.60 0.27 0.14 0.08
5071.43 12.16 4.52 1.44 0.55 0.25 0.12 0.07
5085.71 12.16 5.24 1.52 0.57 0.25 0.13 0.07
5100.00 18.23 5.14 1.58 0.58 0.25 0.13 0.08
5114.29 6.08 6.16 1.74 0.63 0.28 0.14 0.08
5128.57 12.16 5.34 1.53 0.57 0.25 0.12 0.07
5142.86 24.31 6.16 1.72 0.61 0.28 0.14 0.08
5157.14 12.16 5.75 1.61 0.59 0.26 0.13 0.07
5171.43 12.16 6.47 1.76 0.65 0.28 0.14 0.08
5185.71 24.31 6.16 1.66 0.62 0.27 0.14 0.08
5200.00 18.23 6.37 1.69 0.64 0.27 0.13 0.07
5214.29 12.16 6.68 1.69 0.59 0.26 0.13 0.08
5228.57 24.31 6.16 1.68 0.59 0.26 0.13 0.07
5242.86 18.23 6.47 1.73 0.61 0.26 0.14 0.08
5257.14 12.16 6.16 1.81 0.65 0.28 0.15 0.08
5271.43 24.31 6.88 1.78 0.65 0.29 0.14 0.08
5285.71 18.23 7.71 1.86 0.66 0.30 0.15 0.08
5300.00 24.31 6.06 1.74 0.65 0.28 0.14 0.08
5314.29 30.39 5.65 1.64 0.63 0.28 0.14 0.08
5328.57 24.31 7.29 2.02 0.72 0.31 0.15 0.09
5342.86 24.31 7.60 1.90 0.69 0.30 0.15 0.09
5357.14 36.47 6.16 1.72 0.63 0.27 0.14 0.08
5371.43 18.23 6.27 1.81 0.64 0.28 0.14 0.08
5385.71 18.23 6.27 1.88 0.66 0.29 0.15 0.08
5400.00 12.16 5.34 1.64 0.64 0.29 0.15 0.08
5414.29 12.16 5.45 1.68 0.59 0.27 0.14 0.08
5428.57 24.31 5.03 1.57 0.60 0.28 0.14 0.08
5442.86 24.31 5.96 1.53 0.59 0.27 0.14 0.08
5457.14 18.23 6.06 1.52 0.55 0.25 0.13 0.07
5471.43 6.08 4.62 1.38 0.52 0.23 0.12 0.07
5485.71 24.31 4.21 1.21 0.48 0.22 0.12 0.07
5500.00 12.16 5.03 1.26 0.50 0.23 0.12 0.07
5514.29 36.47 5.45 1.46 0.54 0.24 0.12 0.07
5528.57 18.23 4.01 1.12 0.48 0.21 0.11 0.07
5542.86 18.23 4.42 1.25 0.49 0.22 0.11 0.07
5557.14 12.16 4.42 1.16 0.45 0.21 0.11 0.06
5571.43 30.39 5.03 1.21 0.43 0.21 0.11 0.07
5585.71 12.16 4.93 1.16 0.44 0.20 0.11 0.06
5600.00 24.31 4.42 1.06 0.39 0.20 0.10 0.06
5614.29 30.39 4.31 1.09 0.43 0.20 0.11 0.06
5628.57 18.23 4.31 1.10 0.42 0.19 0.10 0.06
5642.86 30.39 5.03 1.24 0.45 0.20 0.11 0.06
5657.14 6.08 4.21 1.08 0.38 0.17 0.10 0.06
5671.43 24.31 4.93 1.20 0.42 0.19 0.10 0.06
5685.71 18.23 4.21 1.01 0.35 0.17 0.09 0.05
5700.00 12.16 5.14 1.32 0.45 0.20 0.11 0.06
5714.29 24.31 4.83 1.18 0.41 0.18 0.10 0.06
5728.57 6.08 4.42 1.09 0.39 0.17 0.09 0.05
5742.86 12.16 4.83 1.06 0.39 0.17 0.09 0.05
5757.14 24.31 4.21 1.08 0.37 0.16 0.09 0.05
5771.43 36.47 5.45 1.18 0.42 0.18 0.09 0.05
5785.71 18.23 5.03 1.09 0.37 0.16 0.08 0.05
5800.00 12.16 4.52 1.14 0.37 0.16 0.09 0.05
5814.29 6.08 4.62 1.09 0.36 0.15 0.08 0.05
5828.57 18.23 4.21 1.04 0.36 0.16 0.08 0.05
5842.86 24.31 5.03 1.16 0.38 0.16 0.08 0.05
5857.14 30.39 4.73 1.21 0.38 0.17 0.08 0.05
5871.43 30.39 4.73 1.13 0.36 0.16 0.08 0.04
5885.71 24.31 5.14 1.17 0.37 0.16 0.08 0.05
5900.00 12.16 5.14 1.14 0.38 0.16 0.08 0.05
5914.29 36.47 5.03 1.20 0.37 0.16 0.08 0.04
5928.57 6.08 4.21 1.16 0.37 0.15 0.08 0.05
5942.86 6.08 4.73 1.12 0.36 0.15 0.08 0.04
5957.14 30.39 5.03 1.09 0.36 0.15 0.08 0.04
5971.43 12.16 4.93 1.21 0.40 0.17 0.08 0.05
5985.71 30.39 4.62 1.05 0.34 0.14 0.07 0.04
6000.00 18.23 4.21 0.98 0.35 0.15 0.07 0.04
6014.29 18.23 4.52 1.06 0.37 0.16 0.08 0.04
6028.57 0.00 4.42 1.14 0.37 0.15 0.07 0.04
6042.86 24.31 5.03 1.12 0.37 0.15 0.07 0.04
